temperature,humidity,action
31.3,56,ON
32.3,55,ON
32.8,55,ON
32.8,55,ON
32.8,55,ON
32.8,55,ON
32.3,55,ON
30.8,52,ON
28.5,52,ON
26.2,55,ON
23.4,55,OFF
21.8,59,OFF
20.6,74,OFF
19.4,64,OFF
19,74,OFF
19.4,74,OFF
20.2,74,OFF
20.6,74,OFF
21.4,76,OFF
22.2,74,OFF
24.8,70,OFF
27.6,85,ON
28.9,80,ON
29.3,72,ON
29.8,69,ON
30.2,67,ON
30.8,62,ON
31.3,61,ON
31.3,60,ON
31.3,59,ON
31.8,60,ON
31.8,59,ON
31.8,58,ON
31.8,59,ON
32.3,58,ON
32.3,58,ON
32.3,58,ON
32.3,57,ON
32.3,57,ON
32.3,57,ON
32.8,57,ON
32.8,57,ON
32.8,56,ON
32.8,56,ON
32.8,56,ON
32.8,56,ON
32.8,56,ON
32.8,55,ON
33.3,55,ON
33.3,55,ON
33.3,55,ON
33.3,54,ON
33.3,55,ON
33.3,55,ON
33.3,55,ON
33.3,55,ON
32.8,56,ON
32.8,56,ON
32.8,56,ON
32.8,56,ON
